Step 4.4 post-join (workers) evidence (Wed Dec 24 17:21:29 +07 2025)

== kubectl get nodes -o wide ==
NAME             STATUS     ROLES           AGE    VERSION    INTERNAL-IP   EXTERNAL-IP   OS-IMAGE             KERNEL-VERSION       CONTAINER-RUNTIME
controlplane01   NotReady   control-plane   3h2m   v1.30.14   10.118.0.2    <none>        Ubuntu 22.04.4 LTS   5.15.0-113-generic   containerd://1.7.28
controlplane02   NotReady   control-plane   37m    v1.30.14   10.118.0.3    <none>        Ubuntu 22.04.4 LTS   5.15.0-113-generic   containerd://1.7.28
controlplane03   NotReady   control-plane   12m    v1.30.14   10.118.0.4    <none>        Ubuntu 22.04.4 LTS   5.15.0-113-generic   containerd://1.7.28
workernode01     NotReady   <none>          100s   v1.30.14   10.118.0.6    <none>        Ubuntu 22.04.4 LTS   5.15.0-113-generic   containerd://1.7.28
workernode02     NotReady   <none>          53s    v1.30.14   10.118.0.7    <none>        Ubuntu 22.04.4 LTS   5.15.0-113-generic   containerd://1.7.28

== kube-system pods ==
NAME                                     READY   STATUS    RESTARTS   AGE    IP           NODE             NOMINATED NODE   READINESS GATES
coredns-55cb58b774-s7tv5                 0/1     Pending   0          3h2m   <none>       <none>           <none>           <none>
coredns-55cb58b774-w8rd2                 0/1     Pending   0          3h2m   <none>       <none>           <none>           <none>
etcd-controlplane01                      1/1     Running   0          3h2m   10.118.0.2   controlplane01   <none>           <none>
etcd-controlplane02                      1/1     Running   0          24m    10.118.0.3   controlplane02   <none>           <none>
etcd-controlplane03                      1/1     Running   0          12m    10.118.0.4   controlplane03   <none>           <none>
kube-apiserver-controlplane01            1/1     Running   0          3h2m   10.118.0.2   controlplane01   <none>           <none>
kube-apiserver-controlplane02            1/1     Running   0          24m    10.118.0.3   controlplane02   <none>           <none>
kube-apiserver-controlplane03            1/1     Running   0          12m    10.118.0.4   controlplane03   <none>           <none>
kube-controller-manager-controlplane01   1/1     Running   0          3h2m   10.118.0.2   controlplane01   <none>           <none>
kube-controller-manager-controlplane02   1/1     Running   1          37m    10.118.0.3   controlplane02   <none>           <none>
kube-controller-manager-controlplane03   1/1     Running   0          12m    10.118.0.4   controlplane03   <none>           <none>
kube-proxy-2r858                         1/1     Running   0          3h2m   10.118.0.2   controlplane01   <none>           <none>
kube-proxy-8bk4t                         1/1     Running   0          100s   10.118.0.6   workernode01     <none>           <none>
kube-proxy-dzzt7                         1/1     Running   1          37m    10.118.0.3   controlplane02   <none>           <none>
kube-proxy-fjtlm                         1/1     Running   0          12m    10.118.0.4   controlplane03   <none>           <none>
kube-proxy-kcghb                         1/1     Running   0          53s    10.118.0.7   workernode02     <none>           <none>
kube-scheduler-controlplane01            1/1     Running   0          3h2m   10.118.0.2   controlplane01   <none>           <none>
kube-scheduler-controlplane02            1/1     Running   1          37m    10.118.0.3   controlplane02   <none>           <none>
kube-scheduler-controlplane03            1/1     Running   0          12m    10.118.0.4   controlplane03   <none>           <none>
